종목코드,종목명,시장구분
25000,KPX케미칼,KOSPI
92230,KPX홀딩스,KOSPI
40,KR모터스,KOSPI
44450,KSS해운,KOSPI
30200,KT,KOSPI
33780,KT&G,KOSPI
58850,KTcs,KOSPI
58860,KTis,KOSPI
93050,LF,KOSPI
3550,LG,KOSPI
34220,LG디스플레이,KOSPI
51900,LG생활건강,KOSPI
51905,LG생활건강우,KOSPI
373220,LG에너지솔루션,KOSPI
3555,LG우,KOSPI
32640,LG유플러스,KOSPI
11070,LG이노텍,KOSPI
66570,LG전자,KOSPI
66575,LG전자우,KOSPI
37560,LG헬로비전,KOSPI
51910,LG화학,KOSPI
51915,LG화학우,KOSPI
79550,LIG넥스원,KOSPI
6260,LS,KOSPI
10120,LS ELECTRIC,KOSPI
680,LS네트웍스,KOSPI
229640,LS전선아시아,KOSPI
1120,LX인터내셔널,KOSPI
108670,LX하우시스,KOSPI
108675,LX하우시스우,KOSPI
383800,LX홀딩스,KOSPI
38380K,LX홀딩스1우,KOSPI
23150,MH에탄올,KOSPI
35420,NAVER,KOSPI
181710,NHN,KOSPI
400760,NH올원리츠,KOSPI
5940,NH투자증권,KOSPI
5945,NH투자증권우,KOSPI
338100,NH프라임리츠,KOSPI
34310,NICE,KOSPI
8260,NI스틸,KOSPI
4250,NPC,KOSPI
4255,NPC우,KOSPI
10060,OCI,KOSPI
178920,PI첨단소재,KOSPI
5490,POSCO홀딩스,KOSPI
10950,S-Oil,KOSPI
10955,S-Oil우,KOSPI
34120,SBS,KOSPI
5090,SGC에너지,KOSPI
1380,SG글로벌,KOSPI
4060,SG세계물산,KOSPI
1770,SHD,KOSPI
2360,SH에너지화학,KOSPI
9160,SIMPAC,KOSPI
123700,SJM,KOSPI
25530,SJM홀딩스,KOSPI
34730,SK,KOSPI
11790,SKC,KOSPI
18670,SK가스,KOSPI
1740,SK네트웍스,KOSPI
1745,SK네트웍스우,KOSPI
6120,SK디스커버리,KOSPI
6125,SK디스커버리우,KOSPI
210980,SK디앤디,KOSPI
68400,SK렌터카,KOSPI
395400,SK리츠,KOSPI
302440,SK바이오사이언스,KOSPI
326030,SK바이오팜,KOSPI
402340,SK스퀘어,KOSPI
361610,SK아이이테크놀로지,KOSPI
03473K,SK우,KOSPI
96770,SK이노베이션,KOSPI
96775,SK이노베이션우,KOSPI
1510,SK증권,KOSPI
1515,SK증권우,KOSPI
285130,SK케미칼,KOSPI
28513K,SK케미칼우,KOSPI
17670,SK텔레콤,KOSPI
660,SK하이닉스,KOSPI
64960,SNT모티브,KOSPI
100840,SNT에너지,KOSPI
3570,SNT중공업,KOSPI
36530,SNT홀딩스,KOSPI
5610,SPC삼립,KOSPI
11810,STX,KOSPI
77970,STX엔진,KOSPI
71970,STX중공업,KOSPI
2820,SUN&L,KOSPI
84870,TBH글로벌,KOSPI
2710,TCC스틸,KOSPI
69260,TKG휴켐스,KOSPI
2900,TYM,KOSPI
24070,WISCOM,KOSPI
37270,YG PLUS,KOSPI
500,가온전선,KOSPI
860,강남제비스코,KOSPI
35250,강원랜드,KOSPI
11420,갤럭시아에스엠,KOSPI
2100,경농,KOSPI
9450,경동나비엔,KOSPI
267290,경동도시가스,KOSPI
12320,경동인베스트,KOSPI
50,경방,KOSPI
214390,경보제약,KOSPI
12610,경인양행,KOSPI
9140,경인전자,KOSPI
13580,계룡건설,KOSPI
12200,계양전기,KOSPI
12205,계양전기우,KOSPI
2140,고려산업,KOSPI
10130,고려아연,KOSPI
2240,고려제강,KOSPI
9290,광동제약,KOSPI
17040,광명전기,KOSPI
17900,광전자,KOSPI
37710,광주신세계,KOSPI
30610,교보증권,KOSPI
339770,교촌에프앤비,KOSPI
7690,국도화학,KOSPI
5320,국동,KOSPI
1140,국보,KOSPI
2720,국제약품,KOSPI
83420,그린케미칼,KOSPI
14530,극동유화,KOSPI
14280,금강공업,KOSPI
14285,금강공업우,KOSPI
8870,금비,KOSPI
1570,금양,KOSPI
2990,금호건설,KOSPI
2995,금호건설우,KOSPI
11780,금호석유,KOSPI
11785,금호석유우,KOSPI
214330,금호에이치티,KOSPI
1210,금호전기,KOSPI
73240,금호타이어,KOSPI
92440,기신정기,KOSPI
270,기아,KOSPI
24110,기업은행,KOSPI
13700,까뮤이앤씨,KOSPI
4540,깨끗한나라,KOSPI
4545,깨끗한나라우,KOSPI
1260,남광토건,KOSPI
8350,남선알미늄,KOSPI
8355,남선알미우,KOSPI
4270,남성,KOSPI
3920,남양유업,KOSPI
3925,남양유업우,KOSPI
25860,남해화학,KOSPI
5720,넥센,KOSPI
5725,넥센우,KOSPI
2350,넥센타이어,KOSPI
2355,넥센타이어1우B,KOSPI
251270,넷마블,KOSPI
90350,노루페인트,KOSPI
90355,노루페인트우,KOSPI
320,노루홀딩스,KOSPI
325,노루홀딩스우,KOSPI
6280,녹십자,KOSPI
5250,녹십자홀딩스,KOSPI
5257,녹십자홀딩스2우,KOSPI
4370,농심,KOSPI
72710,농심홀딩스,KOSPI
58730,다스코,KOSPI
30210,다올투자증권,KOSPI
23590,다우기술,KOSPI
145210,다이나믹디자인,KOSPI
19680,대교,KOSPI
19685,대교우B,KOSPI
6370,대구백화점,KOSPI
8060,대덕,KOSPI
00806K,대덕1우,KOSPI
353200,대덕전자,KOSPI
35320K,대덕전자1우,KOSPI
490,대동,KOSPI
8110,대동전자,KOSPI
5750,대림B&Co,KOSPI
6570,대림통상,KOSPI
1680,대상,KOSPI
1685,대상우,KOSPI
84690,대상홀딩스,KOSPI
84695,대상홀딩스우,KOSPI
128820,대성산업,KOSPI
117580,대성에너지,KOSPI
16710,대성홀딩스,KOSPI
3540,대신증권,KOSPI
3547,대신증권2우B,KOSPI
3545,대신증권우,KOSPI
9190,대양금속,KOSPI
14160,대영포장,KOSPI
47040,대우건설,KOSPI
9320,대우부품,KOSPI
42660,대우조선해양,KOSPI
3090,대웅,KOSPI
69620,대웅제약,KOSPI
430,대원강업,KOSPI
6340,대원전선,KOSPI
6345,대원전선우,KOSPI
3220,대원제약,KOSPI
24890,대원화성,KOSPI
2880,대유에이텍,KOSPI
300,대유플러스,KOSPI
12800,대창,KOSPI
15230,대창단조,KOSPI
1070,대한방직,KOSPI
6650,대한유화,KOSPI
1440,대한전선,KOSPI
84010,대한제강,KOSPI
1790,대한제당,KOSPI
1795,대한제당우,KOSPI
1130,대한제분,KOSPI
3490,대한항공,KOSPI
3495,대한항공우,KOSPI
5880,대한해운,KOSPI
3830,대한화섬,KOSPI
16090,대현,KOSPI
69460,대호에이엘,KOSPI
192080,더블유게임즈,KOSPI
12510,더존비즈온,KOSPI
4830,덕성,KOSPI
4835,덕성우,KOSPI
24900,덕양산업,KOSPI
145720,덴티움,KOSPI
2150,도화엔지니어링,KOSPI
1230,동국제강,KOSPI
23450,동남합성,KOSPI
4140,동방,KOSPI
7590,동방아그로,KOSPI
5960,동부건설,KOSPI
5965,동부건설우,KOSPI
26960,동서,KOSPI
2210,동성제약,KOSPI
102260,동성케미컬,KOSPI
640,동아쏘시오홀딩스,KOSPI
170900,동아에스티,KOSPI
28100,동아지질,KOSPI
282690,동아타이어,KOSPI
1520,동양,KOSPI
1527,동양2우B,KOSPI
1529,동양3우B,KOSPI
84670,동양고속,KOSPI
82640,동양생명,KOSPI
1525,동양우,KOSPI
8970,동양철관,KOSPI
92780,동양피스톤,KOSPI
49770,동원F&B,KOSPI
18500,동원금속,KOSPI
6040,동원산업,KOSPI
30720,동원수산,KOSPI
14820,동원시스템즈,KOSPI
14825,동원시스템즈우,KOSPI
163560,동일고무벨트,KOSPI
4890,동일산업,KOSPI
2690,동일제강,KOSPI
20,동화약품,KOSPI
150,두산,KOSPI
157,두산2우B,KOSPI
241560,두산밥캣,KOSPI
34020,두산에너빌리티,KOSPI
155,두산우,KOSPI
336260,두산퓨얼셀,KOSPI
33626K,두산퓨얼셀1우,KOSPI
33626L,두산퓨얼셀2우B,KOSPI
16740,두올,KOSPI
192650,드림텍,KOSPI
24090,디씨엠,KOSPI
3160,디아이,KOSPI
92200,디아이씨,KOSPI
377190,디앤디플랫폼리츠,KOSPI
13570,디와이,KOSPI
210540,디와이파워,KOSPI
7340,디티알오토모티브,KOSPI
115390,락앤락,KOSPI
32350,롯데관광개발,KOSPI
89860,롯데렌탈,KOSPI
330590,롯데리츠,KOSPI
400,롯데손해보험,KOSPI
23530,롯데쇼핑,KOSPI
4000,롯데정밀화학,KOSPI
286940,롯데정보통신,KOSPI
280360,롯데제과,KOSPI
4990,롯데지주,KOSPI
00499K,롯데지주우,KOSPI
5300,롯데칠성,KOSPI
5305,롯데칠성우,KOSPI
11170,롯데케미칼,KOSPI
2270,롯데푸드,KOSPI
71840,롯데하이마트,KOSPI
27740,마니커,KOSPI
357430,마스턴프리미어리츠,KOSPI
204320,만도,KOSPI
1080,만호제강,KOSPI
88980,맥쿼리인프라,KOSPI
94800,맵스리얼티1,KOSPI
138040,메리츠금융지주,KOSPI
8560,메리츠증권,KOSPI
60,메리츠화재,KOSPI
90370,메타랩스,KOSPI
17180,명문제약,KOSPI
9900,명신산업,KOSPI
12690,모나리자,KOSPI
5360,모나미,KOSPI
204210,모두투어리츠,KOSPI
9680,모토닉,KOSPI
9580,무림P&P,KOSPI
9200,무림페이퍼,KOSPI
33920,무학,KOSPI
8420,문배철강,KOSPI
25560,미래산업,KOSPI
7120,미래아이앤지,KOSPI
396690,미래에셋글로벌리츠,KOSPI
357250,미래에셋맵스리츠,KOSPI
85620,미래에셋생명,KOSPI
6800,미래에셋증권,KOSPI
00680K,미래에셋증권2우B,KOSPI
6805,미래에셋증권우,KOSPI
2840,미원상사,KOSPI
268280,미원에스씨,KOSPI
107590,미원홀딩스,KOSPI
134380,미원화학,KOSPI
3650,미창석유,KOSPI
155900,바다로19호,KOSPI
3610,방림,KOSPI
1340,백광산업,KOSPI
35150,백산,KOSPI
2410,범양건영,KOSPI
96300,베트남개발1,KOSPI
7210,벽산,KOSPI
2760,보락,KOSPI
3850,보령,KOSPI
890,보해양조,KOSPI
3000,부광약품,KOSPI
1270,부국증권,KOSPI
1275,부국증권우,KOSPI
26940,부국철강,KOSPI
11390,부산산업,KOSPI
5030,부산주공,KOSPI
2070,비비안,KOSPI
100220,비상교육,KOSPI
30790,비케이탑스,KOSPI
5180,빙그레,KOSPI
3960,사조대림,KOSPI
8040,사조동아원,KOSPI
7160,사조산업,KOSPI
14710,사조씨푸드,KOSPI
6090,사조오양,KOSPI
1470,삼부토건,KOSPI
6400,삼성SDI,KOSPI
6405,삼성SDI우,KOSPI
6660,삼성공조,KOSPI
28260,삼성물산,KOSPI
02826K,삼성물산우B,KOSPI
207940,삼성바이오로직스,KOSPI
32830,삼성생명,KOSPI
18260,삼성에스디에스,KOSPI
28050,삼성엔지니어링,KOSPI
9150,삼성전기,KOSPI
9155,삼성전기우,KOSPI
5930,삼성전자,KOSPI
5935,삼성전자우,KOSPI
1360,삼성제약,KOSPI
10140,삼성중공업,KOSPI
10145,삼성중공우,KOSPI
16360,삼성증권,KOSPI
68290,삼성출판사,KOSPI
29780,삼성카드,KOSPI
810,삼성화재,KOSPI
815,삼성화재우,KOSPI
6110,삼아알미늄,KOSPI
145990,삼양사,KOSPI
145995,삼양사우,KOSPI
3230,삼양식품,KOSPI
2170,삼양통상,KOSPI
272550,삼양패키징,KOSPI
70,삼양홀딩스,KOSPI
75,삼양홀딩스우,KOSPI
2810,삼영무역,KOSPI
5680,삼영전자,KOSPI
3720,삼영화학,KOSPI
23000,삼원강재,KOSPI
4380,삼익THK,KOSPI
2450,삼익악기,KOSPI
4440,삼일씨엔에스,KOSPI
520,삼일제약,KOSPI
9770,삼정펄프,KOSPI
5500,삼진제약,KOSPI
4690,삼천리,KOSPI
10960,삼호개발,KOSPI
4450,삼화왕관,KOSPI
9470,삼화전기,KOSPI
11230,삼화전자,KOSPI
1820,삼화콘덴서,KOSPI
390,삼화페인트,KOSPI
1290,상상인증권,KOSPI
41650,상신브레이크,KOSPI
75180,새론오토모티브,KOSPI
7540,샘표,KOSPI
248170,샘표식품,KOSPI
7860,서연,KOSPI
200880,서연이화,KOSPI
17390,서울가스,KOSPI
4410,서울식품,KOSPI
4415,서울식품우,KOSPI
21050,서원,KOSPI
8490,서흥,KOSPI
7610,선도전기,KOSPI
136490,선진,KOSPI
14910,성문전자,KOSPI
14915,성문전자우,KOSPI
3080,성보화학,KOSPI
4980,성신양회,KOSPI
4985,성신양회우,KOSPI
11300,성안,KOSPI
180,성창기업지주,KOSPI
2420,세기상사,KOSPI
4360,세방,KOSPI
4365,세방우,KOSPI
4490,세방전지,KOSPI
1430,세아베스틸지주,KOSPI
306200,세아제강,KOSPI
3030,세아제강지주,KOSPI
19440,세아특수강,KOSPI
58650,세아홀딩스,KOSPI
13000,세우글로벌,KOSPI
91090,세원이앤씨,KOSPI
21820,세원정공,KOSPI
67830,세이브존I&C,KOSPI
33530,세종공업,KOSPI
75580,세진중공업,KOSPI
27970,세하,KOSPI
308170,센트랄모텍,KOSPI
12600,센트럴인사이트,KOSPI
68270,셀트리온,KOSPI
336370,솔루스첨단소재,KOSPI
33637K,솔루스첨단소재1우,KOSPI
33637L,솔루스첨단소재2우B,KOSPI
248070,솔루엠,KOSPI
4430,송원산업,KOSPI
17550,수산중공업,KOSPI
53210,스카이라이프,KOSPI
26890,스틱인베스트먼트,KOSPI
134790,시디즈,KOSPI
16590,신대양제지,KOSPI
29530,신도리코,KOSPI
4970,신라교역,KOSPI
11930,신성이엔지,KOSPI
5390,신성통상,KOSPI
4170,신세계,KOSPI
35510,신세계 I&C,KOSPI
34300,신세계건설,KOSPI
31430,신세계인터내셔날,KOSPI
31440,신세계푸드,KOSPI
6880,신송홀딩스,KOSPI
5800,신영와코루,KOSPI
1720,신영증권,KOSPI
1725,신영증권우,KOSPI
9270,신원,KOSPI
9275,신원우,KOSPI
2700,신일전자,KOSPI
19170,신풍제약,KOSPI
19175,신풍제약우,KOSPI
2870,신풍제지,KOSPI
404990,신한서부티엔디리츠,KOSPI
293940,신한알파리츠,KOSPI
55550,신한지주,KOSPI
4080,신흥,KOSPI
102280,쌍방울,KOSPI
3410,쌍용C&E,KOSPI
3620,쌍용차,KOSPI
4770,써니전자,KOSPI
15540,쎌마테라퓨틱스,KOSPI
4920,씨아이테크,KOSPI
112610,씨에스윈드,KOSPI
8700,아남전자,KOSPI
2790,아모레G,KOSPI
00279K,아모레G3우(전환),KOSPI
2795,아모레G우,KOSPI
90430,아모레퍼시픽,KOSPI
90435,아모레퍼시픽우,KOSPI
2030,아세아,KOSPI
183190,아세아시멘트,KOSPI
2310,아세아제지,KOSPI
12170,아센디오,KOSPI
267850,아시아나IDT,KOSPI
20560,아시아나항공,KOSPI
122900,아이마켓코리아,KOSPI
10780,아이에스동서,KOSPI
139990,아주스틸,KOSPI
1780,알루코,KOSPI
18250,애경산업,KOSPI
161000,애경케미칼,KOSPI
11090,에넥스,KOSPI
137310,에스디바이오센서,KOSPI
5850,에스엘,KOSPI
10580,에스엠벡셀,KOSPI
12750,에스원,KOSPI
23960,에쓰씨엔지니어링,KOSPI
298690,에어부산,KOSPI
140910,에이리츠,KOSPI
78520,에이블씨엔씨,KOSPI
15260,에이엔피,KOSPI
7460,에이프로젠 MED,KOSPI
3060,에이프로젠제약,KOSPI
244920,에이플러스에셋,KOSPI
36570,엔씨소프트,KOSPI
380440,엔에이치스팩19호,KOSPI
85310,엔케이,KOSPI
900140,엘브이엠씨홀딩스,KOSPI
97520,엠씨넥스,KOSPI
14440,영보화학,KOSPI
111770,영원무역,KOSPI
9970,영원무역홀딩스,KOSPI
3520,영진약품,KOSPI
670,영풍,KOSPI
6740,영풍제지,KOSPI
12280,영화금속,KOSPI
12160,영흥,KOSPI
15360,예스코홀딩스,KOSPI
7310,오뚜기,KOSPI
2630,오리엔트바이오,KOSPI
271560,오리온,KOSPI
1800,오리온홀딩스,KOSPI
11690,와이투솔루션,KOSPI
70960,용평리조트,KOSPI
316140,우리금융지주,KOSPI
10050,우리종금,KOSPI
6980,우성,KOSPI
17370,우신시스템,KOSPI
105840,우진,KOSPI
10400,우진아이엔에스,KOSPI
49800,우진플라임,KOSPI
16880,웅진,KOSPI
95720,웅진씽크빅,KOSPI
5820,원림,KOSPI
10600,웰바이오텍,KOSPI
8600,윌비스,KOSPI
33270,유나이티드제약,KOSPI
14830,유니드,KOSPI
910,유니온,KOSPI
47400,유니온머티리얼,KOSPI
11330,유니켐,KOSPI
77500,유니퀘스트,KOSPI
2920,유성기업,KOSPI
700,유수홀딩스,KOSPI
3470,유안타증권,KOSPI
3475,유안타증권우,KOSPI
72130,유엔젤,KOSPI
220,유유제약,KOSPI
225,유유제약1우,KOSPI
227,유유제약2우B,KOSPI
1200,유진투자증권,KOSPI
100,유한양행,KOSPI
105,유한양행우,KOSPI
3460,유화증권,KOSPI
3465,유화증권우,KOSPI
8730,율촌화학,KOSPI
8250,이건산업,KOSPI
25820,이구산업,KOSPI
214320,이노션,KOSPI
88260,이리츠코크렙,KOSPI
139480,이마트,KOSPI
7660,이수페타시스,KOSPI
5950,이수화학,KOSPI
15020,이스타코,KOSPI
93230,이아이디,KOSPI
74610,이엔플러스,KOSPI
102460,이연제약,KOSPI
84680,이월드,KOSPI
350520,이지스레지던스리츠,KOSPI
334890,이지스밸류리츠,KOSPI
760,이화산업,KOSPI
14990,인디에프,KOSPI
101140,인바이오젠,KOSPI
6490,인스코비,KOSPI
23800,인지컨트롤스,KOSPI
34590,인천도시가스,KOSPI
129260,인터지스,KOSPI
23810,인팩,KOSPI
249420,일동제약,KOSPI
230,일동홀딩스,KOSPI
13360,일성건설,KOSPI
3120,일성신약,KOSPI
3200,일신방직,KOSPI
7110,일신석재,KOSPI
7570,일양약품,KOSPI
7575,일양약품우,KOSPI
8500,일정실업,KOSPI
81000,일진다이아,KOSPI
20760,일진디스플,KOSPI
20150,일진머티리얼즈,KOSPI
103590,일진전기,KOSPI
271940,일진하이솔루스,KOSPI
15860,일진홀딩스,KOSPI
226320,잇츠한불,KOSPI
317400,자이에스앤디,KOSPI
33240,자화전자,KOSPI
950,전방,KOSPI
348950,제이알글로벌리츠,KOSPI
194370,제이에스코퍼레이션,KOSPI
25620,제이준코스메틱,KOSPI
30000,제일기획,KOSPI
271980,제일약품,KOSPI
1560,제일연마,KOSPI
2620,제일파마홀딩스,KOSPI
6220,제주은행,KOSPI
89590,제주항공,KOSPI
4910,조광페인트,KOSPI
4700,조광피혁,KOSPI
1550,조비,KOSPI
480,조선내화,KOSPI
120030,조선선재,KOSPI
18470,조일알미늄,KOSPI
2600,조흥,KOSPI
185750,종근당,KOSPI
63160,종근당바이오,KOSPI
1630,종근당홀딩스,KOSPI
44380,주연테크,KOSPI
13890,지누스,KOSPI
13870,지엠비코리아,KOSPI
71320,지역난방공사,KOSPI
35000,지투알,KOSPI
88790,진도,KOSPI
3780,진양산업,KOSPI
10640,진양폴리,KOSPI
100250,진양홀딩스,KOSPI
51630,진양화학,KOSPI
272450,진에어,KOSPI
11000,진원생명과학,KOSPI
2780,진흥기업,KOSPI
2787,진흥기업2우B,KOSPI
2785,진흥기업우B,KOSPI
9310,참엔지니어링,KOSPI
650,천일고속,KOSPI
33250,체시스,KOSPI
118000,초록뱀헬스케어,KOSPI
35720,카카오,KOSPI
323410,카카오뱅크,KOSPI
377300,카카오페이,KOSPI
6380,카프로,KOSPI
109070,컨버즈,KOSPI
1620,케이비아이동국실업,KOSPI
29460,케이씨,KOSPI
281820,케이씨텍,KOSPI
381970,케이카,KOSPI
145270,케이탑리츠,KOSPI
417310,코람코더원리츠,KOSPI
357120,코람코에너지리츠,KOSPI
7815,코리아써우,KOSPI
7810,코리아써키트,KOSPI
00781K,코리아써키트2우B,KOSPI
3690,코리안리,KOSPI
192820,코스맥스,KOSPI
44820,코스맥스비티아이,KOSPI
5070,코스모신소재,KOSPI
5420,코스모화학,KOSPI
71950,코아스,KOSPI
2020,코오롱,KOSPI
3070,코오롱글로벌,KOSPI
3075,코오롱글로벌우,KOSPI
2025,코오롱우,KOSPI
120110,코오롱인더,KOSPI
120115,코오롱인더우,KOSPI
138490,코오롱플라스틱,KOSPI
21240,코웨이,KOSPI
36420,콘텐트리중앙,KOSPI
31820,콤텍시스템,KOSPI
192400,쿠쿠홀딩스,KOSPI
284740,쿠쿠홈시스,KOSPI
15590,큐로,KOSPI
264900,크라운제과,KOSPI
26490K,크라운제과우,KOSPI
5740,크라운해태홀딩스,KOSPI
5745,크라운해태홀딩스우,KOSPI
259960,크래프톤,KOSPI
20120,키다리스튜디오,KOSPI
39490,키움증권,KOSPI
14580,태경비케이,KOSPI
15890,태경산업,KOSPI
6890,태경케미컬,KOSPI
3240,태광산업,KOSPI
11280,태림포장,KOSPI
4100,태양금속,KOSPI
4105,태양금속우,KOSPI
9410,태영건설,KOSPI
9415,태영건설우,KOSPI
1420,태원물산,KOSPI
7980,태평양물산,KOSPI
55490,테이팩스,KOSPI
78000,텔코웨어,KOSPI
214420,토니모리,KOSPI
19180,티에이치엔,KOSPI
363280,티와이홀딩스,KOSPI
36328K,티와이홀딩스우,KOSPI
91810,티웨이항공,KOSPI
4870,티웨이홀딩스,KOSPI
5690,파미셀,KOSPI
36580,팜스코,KOSPI
4720,팜젠사이언스,KOSPI
28670,팬오션,KOSPI
10820,퍼스텍,KOSPI
16800,퍼시스,KOSPI
1020,페이퍼코리아,KOSPI
90080,평화산업,KOSPI
10770,평화홀딩스,KOSPI
58430,포스코스틸리온,KOSPI
47050,포스코인터내셔널,KOSPI
3670,포스코케미칼,KOSPI
17810,풀무원,KOSPI
103140,풍산,KOSPI
5810,풍산홀딩스,KOSPI
950210,프레스티지바이오파마,KOSPI
9810,플레이그램,KOSPI
86790,하나금융지주,KOSPI
293480,하나제약,KOSPI
39130,하나투어,KOSPI
352820,하이브,KOSPI
71090,하이스틸,KOSPI
19490,하이트론,KOSPI
80,하이트진로,KOSPI
87,하이트진로2우B,KOSPI
140,하이트진로홀딩스,KOSPI
145,하이트진로홀딩스우,KOSPI
152550,한국ANKOR유전,KOSPI
36460,한국가스공사,KOSPI
5430,한국공항,KOSPI
71050,한국금융지주,KOSPI
71055,한국금융지주우,KOSPI
10040,한국내화,KOSPI
25540,한국단자,KOSPI
4090,한국석유,KOSPI
2200,한국수출포장,KOSPI
2960,한국쉘석유,KOSPI
240,한국앤컴퍼니,KOSPI
123890,한국자산신탁,KOSPI
15760,한국전력,KOSPI
6200,한국전자홀딩스,KOSPI
9540,한국조선해양,KOSPI
23350,한국종합기술,KOSPI
25890,한국주강,KOSPI
970,한국주철관,KOSPI
104700,한국철강,KOSPI
17960,한국카본,KOSPI
161890,한국콜마,KOSPI
24720,한국콜마홀딩스,KOSPI
161390,한국타이어앤테크놀로지,KOSPI
34830,한국토지신탁,KOSPI
7280,한국특강,KOSPI
168490,한국패러랠,KOSPI
10100,한국프랜지,KOSPI
47810,한국항공우주,KOSPI
123690,한국화장품,KOSPI
3350,한국화장품제조,KOSPI
11500,한농화성,KOSPI
2390,한독,KOSPI
14790,한라,KOSPI
60980,한라홀딩스,KOSPI
53690,한미글로벌,KOSPI
42700,한미반도체,KOSPI
8930,한미사이언스,KOSPI
128940,한미약품,KOSPI
9240,한샘,KOSPI
20000,한섬,KOSPI
3680,한성기업,KOSPI
105630,한세실업,KOSPI
69640,한세엠케이,KOSPI
16450,한세예스24홀딩스,KOSPI
10420,한솔PNS,KOSPI
9180,한솔로지스틱스,KOSPI
213500,한솔제지,KOSPI
14680,한솔케미칼,KOSPI
4710,한솔테크닉스,KOSPI
4150,한솔홀딩스,KOSPI
25750,한솔홈데코,KOSPI
4960,한신공영,KOSPI
11700,한신기계,KOSPI
1750,한양증권,KOSPI
1755,한양증권우,KOSPI
18880,한온시스템,KOSPI
9420,한올바이오파마,KOSPI
14130,한익스프레스,KOSPI
300720,한일시멘트,KOSPI
2220,한일철강,KOSPI
6390,한일현대시멘트,KOSPI
3300,한일홀딩스,KOSPI
51600,한전KPS,KOSPI
52690,한전기술,KOSPI
130660,한전산업,KOSPI
2320,한진,KOSPI
3480,한진중공업홀딩스,KOSPI
180640,한진칼,KOSPI
18064K,한진칼우,KOSPI
5110,한창,KOSPI
9460,한창제지,KOSPI
372910,한컴라이프케어,KOSPI
880,한화,KOSPI
00088K,한화3우B,KOSPI
88350,한화생명,KOSPI
370,한화손해보험,KOSPI
9830,한화솔루션,KOSPI
9835,한화솔루션우,KOSPI
272210,한화시스템,KOSPI
12450,한화에어로스페이스,KOSPI
885,한화우,KOSPI
3530,한화투자증권,KOSPI
3535,한화투자증권우,KOSPI
195870,해성디에스,KOSPI
101530,해태제과식품,KOSPI
143210,핸즈코퍼레이션,KOSPI
720,현대건설,KOSPI
267270,현대건설기계,KOSPI
725,현대건설우,KOSPI
5440,현대그린푸드,KOSPI
86280,현대글로비스,KOSPI
42670,현대두산인프라코어,KOSPI
64350,현대로템,KOSPI
79430,현대리바트,KOSPI
12330,현대모비스,KOSPI
10620,현대미포조선,KOSPI
69960,현대백화점,KOSPI
4560,현대비앤지스틸,KOSPI
4565,현대비앤지스틸우,KOSPI
4310,현대약품,KOSPI
322000,현대에너지솔루션,KOSPI
17800,현대엘리베이,KOSPI
307950,현대오토에버,KOSPI
11210,현대위아,KOSPI
267260,현대일렉트릭,KOSPI
4020,현대제철,KOSPI
329180,현대중공업,KOSPI
5380,현대차,KOSPI
5387,현대차2우B,KOSPI
5389,현대차3우B,KOSPI
5385,현대차우,KOSPI
